X;Y;STRUCTYPE
91;55;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TOWER
91;54;TANK
91;55;TANK
91;55;MAST
91;54;TOWER
91;55;TANK
90;54;TOWER
91;55;TOWER
91;55;TOWER
91;54;TOWER
91;55;N/A
91;55;TOWER
91;54;N/A
90;54;TOWER
91;54;TANK
90;54;TOWER
91;54;TOWER
81;49;N/A
81;49;N/A
81;49;N/A
81;49;N/A
81;48;N/A
81;48;N/A
81;48;N/A
81;49;N/A
81;49;N/A
81;48;N/A
83;49;N/A
83;49;N/A
83;49;N/A
83;49;N/A
84;50;N/A
82;49;N/A
83;49;N/A
84;49;TOWER
84;50;TOWER
83;52;N/A
83;51;N/A
84;51;TOWER
84;51;N/A
84;51;N/A
84;51;TOWER
84;51;TOWER
83;51;TOWER
84;51;TOWER
84;51;TOWER
84;49;N/A
84;49;N/A
85;49;N/A
84;49;N/A
85;48;N/A
85;49;TOWER
85;49;N/A
85;49;N/A
85;49;N/A
85;49;N/A
84;49;TOWER
83;52;TOWER
83;52;TOWER
83;51;TOWER
83;52;TOWER
83;52;TOWER
83;51;TOWER
83;52;TOWER
83;51;TOWER
84;52;TOWER
83;52;TOWER
84;52;TOWER
94;43;N/A
94;44;N/A
94;43;N/A
94;43;TOWER
94;43;TOWER
94;42;TOWER
94;43;TOWER
94;42;POLE
94;43;N/A
94;43;N/A
94;43;N/A
94;43;N/A
94;43;TOWER
94;43;N/A
94;43;N/A
94;43;TOWER
94;43;N/A
94;43;N/A
94;43;N/A
94;43;N/A
94;43;TOWER
83;50;TOWER
83;50;TOWER
83;50;TOWER
83;50;N/A
83;49;N/A
83;50;N/A
83;51;TOWER
83;51;TOWER
82;51;TOWER
82;51;TOWER
82;51;TOWER
82;51;TOWER
82;51;TOWER
82;50;TOWER
82;50;TOWER
82;50;TOWER
85;48;SILO
85;49;TOWER
85;48;TOWER
86;49;TOWER
86;49;TOWER
85;48;TOWER
85;48;BANT
85;49;TOWER
85;49;TOWER
85;48;TOWER
86;48;TOWER
85;48;TOWER
85;49;TOWER
85;48;TOWER
85;49;TOWER
85;49;N/A
85;49;TOWER
86;49;TOWER
85;49;TOWER
109;32;MAST
109;32;MAST
111;32;MAST
111;32;MAST
95;53;TOWER
95;53;TOWER
95;53;N/A
96;53;N/A
95;53;N/A
95;53;N/A
96;53;N/A
96;53;TOWER
101;53;POLE
101;53;N/A
101;53;N/A
101;53;N/A
101;53;TANK
101;55;TOWER
101;54;TOWER
93;54;POLE
93;54;POLE
93;53;MAST
93;53;MAST
93;54;MAST
93;53;MAST
94;54;TANK
94;54;TOWER
93;54;POLE
93;54;MAST
93;53;MAST
